Date,Open,High,Low,Close,Adj Close,Volume
2014-05-12,125.550003,128.699997,125.000000,126.824997,77.992607,4746436
2014-05-13,129.350006,130.475006,124.000000,128.100006,78.776688,3891000
2014-05-14,128.024994,135.975006,125.925003,134.375000,82.635567,4714164
2014-05-15,136.000000,137.949997,134.050003,136.149994,83.727119,6270428
2014-05-16,140.000000,176.975006,139.350006,145.100006,89.231041,14451382
2014-05-19,147.975006,174.100006,147.975006,165.225006,101.607162,14806022
2014-05-20,167.824997,169.899994,155.750000,160.175003,98.501602,9294882
2014-05-21,161.000000,167.199997,156.175003,163.625000,100.623230,7475002
2014-05-22,165.100006,171.225006,162.050003,166.899994,102.637222,6596356
2014-05-23,168.399994,176.350006,166.274994,175.225006,107.756775,10401772
2014-05-26,176.824997,190.300003,166.149994,172.274994,105.942642,9189512
2014-05-27,172.274994,173.449997,162.050003,165.824997,101.976128,7234904
2014-05-28,165.500000,174.850006,163.050003,171.675003,105.573669,11943478
2014-05-29,172.500000,173.000000,165.625000,168.274994,103.482773,8611910
2014-05-30,168.750000,169.649994,159.074997,159.850006,98.301727,8159366
2014-06-02,161.100006,167.250000,160.750000,165.675003,101.883904,6050262
2014-06-03,166.600006,167.149994,161.225006,163.875000,100.776970,7184576
2014-06-04,162.274994,166.850006,162.050003,163.875000,100.776970,3698746
2014-06-05,164.649994,169.449997,162.300003,168.550003,103.651917,7774892
2014-06-06,169.750000,177.949997,169.750000,176.975006,108.832962,8329998
2014-06-09,178.574997,190.250000,178.500000,188.475006,115.905045,9955482
2014-06-10,189.000000,189.324997,180.024994,184.850006,113.675819,5156496
2014-06-11,185.000000,186.500000,176.024994,177.774994,109.324936,5531582
2014-06-12,178.000000,183.300003,175.149994,177.149994,108.940567,4613678
2014-06-13,177.850006,180.000000,166.899994,169.100006,103.990143,4618660
2014-06-16,169.000000,173.850006,166.824997,171.350006,105.373810,5226526
2014-06-17,172.149994,175.199997,166.800003,173.600006,106.757462,4242842
2014-06-18,174.475006,180.449997,170.074997,175.050003,107.649170,5705294
2014-06-19,176.550003,176.975006,168.225006,169.425003,104.189995,3457306
2014-06-20,170.949997,173.949997,168.850006,171.975006,105.758163,4412610
2014-06-23,172.500000,176.000000,171.050003,171.875000,105.696671,3094470
2014-06-24,174.000000,177.649994,172.500000,176.250000,108.387131,3835922
2014-06-25,177.524994,184.949997,177.524994,184.149994,113.245300,6095758
2014-06-26,184.675003,185.800003,177.750000,178.475006,109.755424,3517068
2014-06-27,178.949997,180.899994,175.000000,177.250000,109.002090,3382540
2014-06-30,178.149994,182.899994,178.050003,179.649994,110.477974,3146536
2014-07-01,180.600006,182.449997,176.475006,178.199997,109.586296,1785416
2014-07-02,179.800003,186.000000,179.800003,184.975006,113.752686,5282726
2014-07-03,186.125000,189.875000,183.600006,184.675003,113.568192,5668852
2014-07-04,186.475006,188.750000,182.149994,187.375000,115.228561,4235058
2014-07-07,187.925003,191.699997,187.500000,190.399994,117.088837,4871220
2014-07-08,191.000000,191.324997,174.250000,177.800003,109.340309,8093200
2014-07-09,177.800003,180.250000,168.824997,173.899994,106.941948,4721406
2014-07-10,175.000000,190.149994,166.050003,183.725006,112.983963,10400814
2014-07-11,184.500000,186.125000,162.949997,164.524994,101.176682,7341472
2014-07-14,166.300003,171.699997,160.524994,165.274994,101.637901,5543678
2014-07-15,166.699997,172.699997,165.800003,171.899994,105.712029,5278756
2014-07-16,172.000000,174.000000,160.550003,162.975006,100.223488,7494410
2014-07-17,162.500000,166.149994,161.524994,162.550003,99.962151,7045826
2014-07-18,160.750000,161.475006,154.074997,156.774994,96.410728,9487950
2014-07-21,156.800003,160.125000,156.199997,156.899994,96.487595,3985920
2014-07-22,158.000000,160.975006,156.274994,158.425003,97.425407,6173420
2014-07-23,159.074997,162.149994,157.500000,160.800003,98.885941,4763820
2014-07-24,161.000000,163.500000,158.899994,159.550003,98.117241,4409420
2014-07-25,159.149994,161.199997,150.500000,153.175003,94.196869,4381880
2014-07-28,152.550003,156.000000,148.449997,150.125000,92.321236,3222394
2014-07-30,149.625000,156.375000,149.500000,155.250000,95.472893,7423110
2014-07-31,155.225006,155.850006,151.149994,153.000000,94.089249,6809942
2014-08-01,151.449997,156.000000,151.000000,152.500000,93.781754,4082442
2014-08-04,153.000000,154.975006,151.699997,152.399994,93.720253,4379308
2014-08-05,153.000000,153.375000,150.250000,152.175003,93.581902,4083088
2014-08-06,151.899994,155.475006,151.250000,152.225006,93.612648,3508446
2014-08-07,152.699997,154.199997,149.625000,150.100006,92.305847,5504406
2014-08-08,148.475006,148.600006,143.675003,144.350006,88.769829,3179992
2014-08-11,145.949997,147.425003,145.274994,146.550003,90.122742,3624860
2014-08-12,146.824997,150.500000,146.800003,149.350006,91.844635,3970518
2014-08-13,150.375000,150.375000,138.225006,140.399994,86.340714,4550266
2014-08-14,140.750000,143.850006,138.324997,142.800003,87.816635,7038066
2014-08-18,142.500000,145.000000,142.500000,143.625000,88.323967,3698652
2014-08-19,144.350006,145.899994,141.250000,141.925003,87.278534,5800250
2014-08-20,141.024994,143.500000,139.625000,140.949997,86.678940,5702848
2014-08-21,141.399994,143.699997,140.550003,142.350006,87.539894,3839712
2014-08-22,143.050003,143.149994,139.625000,140.375000,86.325348,3161696
2014-08-25,140.800003,141.600006,133.550003,134.300003,82.589447,5517608
2014-08-26,132.500000,134.350006,128.550003,133.399994,82.035973,4904208
2014-08-27,134.350006,135.250000,131.699997,132.850006,81.697754,3050020
2014-08-28,132.024994,135.225006,130.300003,134.175003,82.512581,6142486
2014-09-01,134.699997,140.350006,134.500000,139.449997,85.756493,4648334
2014-09-02,139.199997,139.449997,135.225006,136.100006,84.760063,4623472
2014-09-03,136.100006,136.774994,133.500000,134.199997,83.576782,5079064
2014-09-04,133.625000,137.649994,132.600006,134.524994,83.779190,3624340
2014-09-05,134.125000,137.949997,133.250000,137.000000,85.320557,2701720
2014-09-08,137.125000,138.199997,135.149994,135.699997,84.510956,3809758
2014-09-09,135.975006,137.074997,134.899994,135.949997,84.666641,1511886
2014-09-10,135.899994,136.000000,133.524994,134.000000,83.452217,1587536
2014-09-11,134.274994,141.975006,134.175003,141.574997,88.169762,7976288
2014-09-12,141.925003,143.425003,140.125000,141.375000,88.045212,4089184
2014-09-15,140.649994,144.625000,138.699997,142.850006,88.963814,3557680
2014-09-16,142.850006,144.899994,133.949997,134.774994,83.934868,3768250
2014-09-17,135.550003,136.675003,129.774994,131.024994,81.599457,3856940
2014-09-18,130.975006,135.350006,129.500000,134.699997,83.888176,4706108
2014-09-19,135.375000,136.824997,132.875000,135.074997,84.121712,5747476
2014-09-22,133.850006,133.850006,130.625000,131.100006,81.646172,2844414
2014-09-23,131.500000,132.875000,123.250000,124.224998,77.364571,5283652
2014-09-24,124.449997,126.000000,116.550003,124.425003,77.489128,5412140
2014-09-25,124.000000,125.699997,117.275002,120.250000,74.889023,5697172
2014-09-26,119.050003,128.250000,119.000000,127.574997,79.450874,4615118
2014-09-29,127.474998,127.599998,123.275002,124.324997,77.426849,2122824
2014-09-30,123.349998,128.175003,122.199997,124.974998,77.831657,4086218
2014-10-01,124.500000,126.849998,124.175003,125.900002,78.407722,2157866
2014-10-07,125.400002,126.550003,119.099998,119.724998,74.562073,2782872
2014-10-08,118.625000,120.449997,117.800003,119.349998,74.328529,4015292
2014-10-09,120.000000,125.849998,120.000000,125.000000,77.847221,5207436
2014-10-10,123.625000,128.399994,121.250000,125.750000,78.314308,4647000
2014-10-13,124.500000,125.974998,121.750000,125.474998,78.143044,5190642
2014-10-14,125.525002,131.250000,125.000000,129.649994,80.743134,5450370
2014-10-15,129.649994,129.649994,129.649994,129.649994,80.743134,0
2014-10-16,128.425003,131.500000,126.025002,126.949997,79.061638,5131900
